ID	Name	LongName	Description	AddressLine1	AddressLine2	State	Zipcode	Country	Longitude	Latitude
10132	Caltech HEP		This site is managed by the Caltech High Energy Physics department.	1200 E. California Blvd	NULL	CA	91125	USA	-118.124278	34.136133
10133	UPRM_HEP	NULL	NULL	NULL	NULL	PR	00680	Puerto Rico	-67.140884	18.211578
10134	OSGSC_UC	NULL	ITB site for Tier 3 and small sites prototyping and testing at the University of Chicago.	NULL	NULL	IL	60637	USA	-87.600936	41.790593
10135	Nebraska-CMS	NULL	Nebraska CMS T2	118 Schorr Center	NULL	NE	68588	USA	-96.705694	40.819655
10136	USP - LCCA	Universidade de São Paulo - Laboratório de Computação Científica Avançada	NULL	Av. Prof. Luciano Gualberto, 71, travessa 3	NULL	SP	05508-010	Brazil	-46.731999	-23.557103
10137	Nevis	NULL	NULL	NULL	NULL	NY	10533	USA	-73.872435	41.027292
10138	APCR-DRDL	AstroParticle and Cosmic Radiation Detector Research and Development Laboratory	NULL	1668 S Martin Luther King	NULL	Florida	32307	USA	-84.284816	30.428152
10139	TAMU Mathematics	Texas A&M University Department of Mathematics	NULL	Room 102 Milner Hall	NULL	TX	77843-3368	United States	-96.342888	30.616914
10140	ucsb-hep	NULL	NULL	NULL	NULL	CA	93106	USA	-119.179687	34.016242
10141	UGA Research Computing Center	NULL	NULL	NULL	NULL	NULL	30602	United States	-83.375362	33.945986
10142	SUSQU	Susquehanna University Physics Dept.	Susquehanna University Physics Dept.	514 University Ave	NULL	PA	17870	USA	-76.873155	40.798506
10143	GC_PUJ	NULL	Site Asociated to a GCVO and GCEDU	Carrera 7 No. 40 - 62	NULL	Bogota DC	075	Colombia	-74.063972	4.626875
10144	NYU ATLAS Tier3	NYU ATLAS Tier3	Tier3g cluster devoted to the analysis of the data collected by the ATLAS detector.	NULL	NULL	NY	10003	USA	-73.994486	40.729942
10145	PPCF_ATLAS	Hampton ATLAS Tier3	The Atlas Tier3 Cloud in Particle Physics Computing Facility at Hampton University.	Orchard Rd.	NULL	VA	23668	United States of America	-76.336344	37.019576
10146	FIU CMS Tier3	FIU CMS Tier3 meta cluster	CMS Tier3 site located at Florida International Univerisity	Department of Physics CP202	11200 SW 8th Street	Florida	33199	USA	-80.372361	25.758609
10147	Vanderbilt_EC2	Vanderbilt Cloud Interface	Test site for integrating EC2 into CMS' infrastructure	NULL	NULL	TN	37240	USA	-86.796455	36.143827
10148	HMS	Harvard Medical School	NULL	240 Longwood Ave	NULL	MA	02115	USA	-71.104092	42.335822
10149	CHTC	Center for High Throughput Computing	The University of Wisconsin's Center for High Throughput Computing.  Note that CHTC and GLOW are closely related, and in many contexts are synonyms.	1210 W. Dayton St	NULL	Wisconsin	53706-1685	USA	-89.406931	43.071568
10150	GC_UC	NULL	Site Asociated to a GCVO and GCEDU	Diagonal 47 #15-50	NULL	Bogota DC	075	Colombia	-74.068397	4.634815
10151	GC_UCALDAS	NULL	Site Asociated to a GCVO and GCEDU	Street 65 # 26-10	NULL	Caldas	0000	Colombia	-75.527846	5.071394
10152	GC_UTB	Unitecnologica	Site Asociated to a GCVO and GCEDU	Parque Industrial Carlos Velez Pombo	Ternera Km 1 via Turbaco	Bolivar	130010	Colombia	-75.465742	10.370536
10153	Uniandes	Universidad de los Andes	Universidad de los Andes site for EMI OSG. Site Asociated to a GCVO and GCEDU	Cr 1 #18a - 10	NULL	DC	11001	Colombia	-74.065747	4.60191
10154	GC_UPB	Universidad Pontificia Bolivariana	Site Asociated to a GCVO and GCEDU	Circular 1 70-01	NULL	Antioquia	NA	Colombia	-75.589344	6.240994
10155	UMass	University of Massachusetts, Amherst	University of Massachusetts, Amherst USATLAS Tier 3 cluster	1126 Lederle Graduate Research Tower (LGRT)	University of Massachusetts	MA	01003-9337	USA	-72.527661	42.394059
10156	GC_UDEM	NULL	Site Asociated to a GCVO and GCEDU	Carrera 87 No. 30-65	NULL	Antioquia	N/A	Colombia	-75.611327	6.232819
10157	GC_UAM	Site UAM	Site Asociated to a GCVO and GCEDU	Antigua Estacion del Ferrocarril	NULL	Caldas	0	Colombia	-75.502774	5.068271
10158	NIU ATLAS T3	NULL	NULL	Northern Illinois University	NULL	IL	60115	USA	-88.765218	41.932271
10159	CSU Fresno T3	CSU Fresno T3	California State University, Fresno, ATLAS T3g site	California State University, Fresno, Department of Physics	NULL	CA	93740-8027	USA	-119.746857	36.812927
10160	GC_UAC	NULL	Site Asociated to a GCVO and GCEDU	Cl 90 # 46 - 112	NULL	Atlantico	057	Colombia	-74.823788	11.00384
10161	GC_UV	Universidad del Valle	Site Asociated to a GCVO and GCEDU	Calle 13 # 100-00	Room 2072, building 331.	Valle del Cauca	na	Colombia	-76.532661	3.375296
10162	GC_UIS	NULL	Site Asociated to a GCVO and GCEDU	NULL	NULL	NULL	68001000	Colombia	-73.121446	7.140845
10163	GC_UNIANDES	NULL	Site Asociated to a GCVO and GCEDU	Carrera 1 #18A-10	NULL	Cundinamarca	340	Colombia	-74.065763	4.601878
10164	UCSD OSG	NULL	NULL	NULL	NULL	NULL	92093	USA	-117.246094	32.868053
10165	UAB Research Computing	NULL	NULL	1800 University Blvd	NULL	AL	35212	US	-86.801155	33.50305
10166	Virginia Bioinformatics Institute	NULL	NULL	Washington Street	NULL	VA	24061	USA	-80.426488	37.221196
10167	INFN-PADOVA	NULL	Grid site supporting SBGrid VO for interoperability tests between WeNMR/EGI and SBGrid/OSG. It hosts a glideinWMS submit node connected to the HMS SBGrid VO Frontend.	via Marzolo 8	NULL		35131	Italy	11.885952	45.409357
